timestamp,src_ip,dst_ip,dst_port,syn_flag
1770702525.70776,20.99.185.48,10.1.91.172,59835,0
1770702525.7089078,10.1.91.172,20.99.185.48,443,0
1770702525.7206674,10.1.91.172,20.99.185.48,443,0
1770702525.9258273,20.99.185.48,10.1.91.172,59835,0
1770702525.9798548,20.99.185.48,10.1.91.172,59835,0
1770702525.9818647,20.99.185.48,10.1.91.172,59835,0
1770702525.9826589,10.1.91.172,20.99.185.48,443,0
1770702525.9832923,10.1.91.172,20.99.185.48,443,0
1770702525.984299,20.99.185.48,10.1.91.172,59835,0
1770702525.9848862,10.1.91.172,20.99.185.48,443,0
1770702525.9860604,20.99.185.48,10.1.91.172,59835,0
1770702525.987307,10.1.91.172,20.99.185.48,443,0
1770702526.0427554,10.1.91.172,20.99.185.48,443,0
1770702526.3210452,20.99.185.48,10.1.91.172,59835,0
1770702526.3218915,20.99.185.48,10.1.91.172,59835,0
1770702526.322575,10.1.91.172,20.99.185.48,443,0
1770702526.3244526,10.1.91.172,20.99.185.48,443,0
1770702526.3253047,10.1.91.172,20.99.185.48,443,0
1770702526.3390803,10.1.91.172,20.99.185.48,443,0
1770702526.340044,10.1.91.172,20.99.185.48,443,0
1770702526.3407242,10.1.91.172,20.99.185.48,443,0
1770702526.556484,20.99.185.48,10.1.91.172,59835,0
1770702526.5576518,20.99.185.48,10.1.91.172,59835,0
1770702526.558673,10.1.91.172,20.99.185.48,443,0
1770702526.5758462,20.99.185.48,10.1.91.172,59835,0
1770702526.5769713,20.99.185.48,10.1.91.172,59835,0
1770702526.5901177,20.99.185.48,10.1.91.172,59835,0
1770702526.5917683,20.99.185.48,10.1.91.172,59835,0
1770702526.592831,10.1.91.172,20.99.185.48,443,0
1770702527.7493422,10.1.91.172,20.42.65.89,443,1
1770702527.8454444,10.1.91.172,104.18.32.47,443,0
1770702527.8474965,10.1.91.172,104.18.32.47,443,0
1770702527.8496454,10.1.91.172,104.18.32.47,443,0
1770702527.8509421,10.1.91.172,104.18.32.47,443,0
1770702527.8528426,10.1.91.172,104.18.32.47,443,0
1770702527.8566947,10.1.91.172,104.18.32.47,443,0
1770702527.858408,10.1.91.172,104.18.32.47,443,0
1770702527.860158,10.1.91.172,104.18.32.47,443,0
1770702527.8619578,10.1.91.172,104.18.32.47,443,0
1770702527.8637993,10.1.91.172,104.18.32.47,443,0
1770702527.8656566,10.1.91.172,104.18.32.47,443,0
1770702527.8673537,10.1.91.172,104.18.32.47,443,0
1770702527.8707886,10.1.91.172,104.18.32.47,443,0
1770702527.8736892,10.1.91.172,104.18.32.47,443,0
1770702527.8749597,10.1.91.172,104.18.32.47,443,0
1770702527.8770747,10.1.91.172,104.18.32.47,443,0
1770702527.8783238,104.18.32.47,10.1.91.172,54441,0
1770702527.8796375,104.18.32.47,10.1.91.172,54441,0
1770702527.8813353,104.18.32.47,10.1.91.172,54441,0
