total_packets,unique_ports,syn_packets,syn_ratio,avg_packet_size,packet_rate
24,1,0,0.0,293.375,4.8
519,4,31,0.05973025048169557,419.5818882466281,103.8
89,3,0,0.0,713.3258426966293,17.8
3,1,0,0.0,176.0,0.6
4,1,0,0.0,107.0,0.8
21,1,0,0.0,1249.2857142857142,4.2
3,1,0,0.0,113.66666666666667,0.6
3,3,0,0.0,56.0,0.6
1,1,0,0.0,56.0,0.2
15,1,0,0.0,629.6,3.0
38,1,0,0.0,553.078947368421,7.6
77,7,0,0.0,925.4935064935065,15.4
21,2,0,0.0,512.047619047619,4.2
4,1,0,0.0,127.0,0.8
1,1,0,0.0,54.0,0.2
72,7,0,0.0,596.9027777777778,14.4
22,1,0,0.0,571.5,4.4
1,1,0,0.0,484.0,0.2
6,1,0,0.0,276.6666666666667,1.2
27,2,0,0.0,662.925925925926,5.4
29,2,0,0.0,366.0344827586207,5.8
22,2,0,0.0,711.5454545454545,4.4
8,1,0,0.0,788.625,1.6
7,2,0,0.0,279.0,1.4
2,1,0,0.0,54.0,0.4
3,1,0,0.0,58.666666666666664,0.6
1,1,0,0.0,56.0,0.2
1,1,0,0.0,119.0,0.2
6,1,0,0.0,752.3333333333334,1.2
1,1,0,0.0,56.0,0.2
2,1,0,0.0,67.0,0.4
4,1,0,0.0,1302.5,0.8
1,1,0,0.0,482.0,0.2
1,1,0,0.0,66.0,0.2
43,4,0,0.0,155.11627906976744,8.6
632,3,22,0.03481012658227848,327.1898734177215,126.4
312,3,0,0.0,1032.445512820513,62.4
10,1,0,0.0,749.8,2.0
2,1,0,0.0,67.0,0.4
28,1,0,0.0,313.5357142857143,5.6
39,4,0,0.0,578.7692307692307,7.8
2,1,0,0.0,671.5,0.4
4,1,0,0.0,295.5,0.8
83,1,0,0.0,1657.9759036144578,16.6
17,2,0,0.0,757.1176470588235,3.4
5,1,0,0.0,111.0,1.0
1,1,0,0.0,581.0,0.2
1,1,0,0.0,143.0,0.2
1,1,0,0.0,563.0,0.2
87,1,0,0.0,1765.5172413793102,17.4
17,1,0,0.0,818.7647058823529,3.4
34,3,0,0.0,849.0588235294117,6.8
55,3,0,0.0,920.4,11.0
23,2,0,0.0,297.60869565217394,4.6
17,1,0,0.0,564.7647058823529,3.4
11,1,0,0.0,971.6363636363636,2.2
2,1,0,0.0,66.0,0.4
7,1,0,0.0,122.0,1.4
7,1,0,0.0,289.57142857142856,1.4
39,2,0,0.0,804.4871794871794,7.8
1,1,0,0.0,82.0,0.2
2,1,0,0.0,127.0,0.4
5,1,0,0.0,172.2,1.0
7,1,0,0.0,608.8571428571429,1.4
1,1,0,0.0,167.0,0.2
9,1,0,0.0,147.0,1.8
150,3,0,0.0,1382.7333333333333,30.0
668,2,14,0.020958083832335328,430.7874251497006,133.6
2,1,0,0.0,293.5,0.4
12,2,0,0.0,746.0833333333334,2.4
3,2,0,0.0,834.6666666666666,0.6
6,1,0,0.0,121.5,1.2
46,1,0,0.0,610.3260869565217,9.2
4,3,0,0.0,562.5,0.8
15,2,0,0.0,153.13333333333333,3.0
63,1,0,0.0,117.42857142857143,12.6
2,1,0,0.0,512.0,0.4
3,2,0,0.0,734.0,0.6
13,1,0,0.0,275.2307692307692,2.6
50,2,0,0.0,580.58,10.0
3,1,0,0.0,112.0,0.6
4,1,0,0.0,75.0,0.8
1,1,0,0.0,364.0,0.2
4,1,0,0.0,127.0,0.8
6,1,0,0.0,57.666666666666664,1.2
26,1,0,0.0,404.53846153846155,5.2
401,3,0,0.0,1209.0947630922694,80.2
3,1,0,0.0,55.333333333333336,0.6
3,1,0,0.0,55.333333333333336,0.6
1,1,0,0.0,56.0,0.2
1,1,0,0.0,119.0,0.2
1,1,0,0.0,712.0,0.2
33,3,0,0.0,502.1212121212121,6.6
6,1,0,0.0,57.666666666666664,1.2
6,2,0,0.0,57.333333333333336,1.2
2,1,0,0.0,56.0,0.4
2,1,0,0.0,67.0,0.4
7,1,0,0.0,615.0,1.4
7,1,0,0.0,92.85714285714286,1.4
25,2,0,0.0,840.52,5.0
2,2,0,0.0,66.0,0.4
1,1,0,0.0,56.0,0.2
1,1,0,0.0,56.0,0.2
1,1,0,0.0,56.0,0.2
2,2,0,0.0,56.0,0.4
2,1,0,0.0,67.0,0.4
667,2,17,0.025487256371814093,288.82608695652175,133.4
419,2,0,0.0,1206.7828162291169,83.8
3,1,0,0.0,59.333333333333336,0.6
5,2,0,0.0,64.8,1.0
2,1,0,0.0,67.0,0.4
16,3,0,0.0,128.0,3.2
4,3,0,0.0,99.25,0.8
48,4,0,0.0,594.1041666666666,9.6
5,1,0,0.0,135.0,1.0
5,3,0,0.0,289.6,1.0
4,2,0,0.0,55.5,0.8
77,4,0,0.0,669.6233766233767,15.4
3,2,0,0.0,356.6666666666667,0.6
2,1,0,0.0,56.0,0.4
2,1,0,0.0,61.0,0.4
3,2,0,0.0,393.6666666666667,0.6
273,1,0,0.0,1686.069597069597,54.6
9,1,0,0.0,229.77777777777777,1.8
1,1,0,0.0,712.0,0.2
6,1,0,0.0,127.0,1.2
50,2,0,0.0,649.24,10.0
42,3,0,0.0,1173.2380952380952,8.4
1,1,0,0.0,167.0,0.2
39,2,0,0.0,704.4358974358975,7.8
1,1,0,0.0,1073.0,0.2
5,1,0,0.0,160.0,1.0
1,1,0,0.0,137.0,0.2
1,1,0,0.0,86.0,0.2
46,3,0,0.0,829.9782608695652,9.2
3,1,0,0.0,502.6666666666667,0.6
3,1,0,0.0,95.0,0.6
1,1,0,0.0,66.0,0.2
1,1,0,0.0,66.0,0.2
585,2,18,0.03076923076923077,323.7196581196581,117.0
178,1,0,0.0,1791.6404494382023,35.6
186,1,0,0.0,1246.5698924731182,37.2
15,1,0,0.0,579.2,3.0
10,1,0,0.0,352.5,2.0
15,1,0,0.0,106.6,3.0
20,3,0,0.0,182.9,4.0
8,1,0,0.0,235.75,1.6
6,2,0,0.0,71.83333333333333,1.2
8,1,0,0.0,227.75,1.6
9,2,0,0.0,181.33333333333334,1.8
14,1,0,0.0,671.2142857142857,2.8
4,2,0,0.0,178.25,0.8
6,1,0,0.0,184.83333333333334,1.2
5,1,0,0.0,119.0,1.0
1,1,0,0.0,482.0,0.2
76,6,0,0.0,376.7236842105263,15.2
24,1,0,0.0,362.5,4.8
4,2,0,0.0,220.25,0.8
1,1,0,0.0,96.0,0.2
2,1,0,0.0,82.0,0.4
4,1,0,0.0,87.0,0.8
2,1,0,0.0,341.0,0.4
2,2,0,0.0,385.5,0.4
7,1,0,0.0,248.14285714285714,1.4
1,1,0,0.0,66.0,0.2
3,1,0,0.0,117.0,0.6
1,1,0,0.0,56.0,0.2
1,1,0,0.0,66.0,0.2
2,2,0,0.0,66.0,0.4
507,2,26,0.05128205128205128,378.44575936883626,101.4
37,1,0,0.0,1225.945945945946,7.4
86,6,0,0.0,474.6511627906977,17.2
8,3,0,0.0,102.625,1.6
1,1,0,0.0,958.0,0.2
5,1,0,0.0,119.0,1.0
1,1,0,0.0,66.0,0.2
1,1,0,0.0,376.0,0.2
5,1,0,0.0,187.6,1.0
43,3,0,0.0,307.0,8.6
3,1,0,0.0,59.333333333333336,0.6
4,1,0,0.0,149.25,0.8
33,5,0,0.0,296.3030303030303,6.6
3,1,0,0.0,66.66666666666667,0.6
89,1,0,0.0,1309.6516853932585,17.8
42,3,0,0.0,653.1428571428571,8.4
39,2,0,0.0,499.35897435897436,7.8
19,1,0,0.0,129.31578947368422,3.8
8,1,0,0.0,70.75,1.6
1,1,0,0.0,350.0,0.2
7,2,0,0.0,151.28571428571428,1.4
5,1,0,0.0,55.6,1.0
1,1,0,0.0,54.0,0.2
1,1,0,0.0,484.0,0.2
50,1,0,0.0,1183.34,10.0
2,1,0,0.0,67.0,0.4
4,1,0,0.0,55.0,0.8
3,2,0,0.0,64.0,0.6
11,1,0,0.0,1069.6363636363637,2.2
1,1,0,0.0,1069.0,0.2
2,1,0,0.0,87.0,0.4
1,1,0,0.0,66.0,0.2
29,6,0,0.0,258.2758620689655,5.8
2,1,0,0.0,78.0,0.4
1,1,0,0.0,712.0,0.2
2,1,0,0.0,96.5,0.4
4,1,0,0.0,340.5,0.8
48,1,0,0.0,1391.2708333333333,9.6
45,6,0,0.0,173.11111111111111,9.0
6,1,0,0.0,1100.0,1.2
2,1,0,0.0,715.0,0.4
359,2,8,0.022284122562674095,398.40947075208913,71.8
48,5,0,0.0,610.4375,9.6
4,1,0,0.0,73.0,0.8
34,1,0,0.0,794.8235294117648,6.8
23,1,0,0.0,1179.2608695652175,4.6
10,1,0,0.0,223.8,2.0
6,1,0,0.0,178.83333333333334,1.2
3,1,0,0.0,82.0,0.6
2,1,0,0.0,260.0,0.4
1,1,0,0.0,713.0,0.2
20,3,0,0.0,750.9,4.0
2,1,0,0.0,612.5,0.4
1,1,0,0.0,69.0,0.2
2,1,0,0.0,514.5,0.4
56,1,0,0.0,883.3571428571429,11.2
